departamento,empl_industrial,empl_total,share_empl_industrial
General Las Heras,1353,2274,0.59
Ramallo,6749,11849,0.57
Magdalena,967,1926,0.5
Capitán Sarmiento,1340,2726,0.49
Colón,1849,3898,0.47
General San Martín,37348,80264,0.47
Tres de Febrero,26103,56379,0.46
Cañuelas,4292,10047,0.43
Zárate,12191,28304,0.43
Navarro,699,1762,0.4
San Andrés de Giles,1358,3370,0.4
San Fernando,11351,29419,0.39
General Rodríguez,5903,15624,0.38
Mercedes,3339,8903,0.38
Tigre,31610,83661,0.38
Escobar,13792,37585,0.37
Bragado,1919,5309,0.36
Brandsen,1686,4690,0.36
Lanús,18952,53271,0.36
Marcos Paz,1415,3904,0.36
Luján,6030,17175,0.35
Pilar,24232,69099,0.35
Monte,934,2718,0.34
Avellaneda,19664,59956,0.33
Baradero,1605,4929,0.33
Malvinas Argentinas,12942,39327,0.33
Rojas,1351,4128,0.33
Salto,2620,7978,0.33
Ensenada,4618,14350,0.32
La Matanza,39600,127962,0.31
Campana,6916,23261,0.3
Chivilcoy,2547,8419,0.3
Berazategui,8207,28710,0.29
Chacabuco,1963,6981,0.28
Exaltación de la Cruz,1046,3676,0.28
Las Flores,635,2290,0.28
Quilmes,19927,70121,0.28
Almirante Brown,11604,42327,0.27
Hurlingham,4665,17278,0.27
Pergamino,4836,18004,0.27
Saladillo,951,3527,0.27
Arrecifes,948,3598,0.26
San Vicente,1226,4719,0.26
Carmen de Areco,529,2092,0.25
Coronel Suárez,1194,4741,0.25
Florencio Varela,4982,19995,0.25
Merlo,6160,24883,0.25
Vicente López,29375,120347,0.24
Lobos,1015,4337,0.23
Moreno,7853,35171,0.22
Balcarce,1443,6902,0.21
Ezeiza,6130,28664,0.21
Azul,1896,9371,0.2
Esteban Echeverría,7229,35457,0.2
San Antonio de Areco,690,3366,0.2
9 de Julio,1110,5714,0.19
Lomas de Zamora,11235,58891,0.19
Morón,10266,55064,0.19
Olavarría,3273,18306,0.18
San Pedro,1399,7925,0.18
Tres Arroyos,1540,8454,0.18
Ituzaingó,3577,20468,0.17
General Pueyrredón,19043,118660,0.16
Lincoln,764,4911,0.16
Bahía Blanca,9312,64116,0.15
Chascomús,667,4686,0.14
Junín,2078,15266,0.14
San Isidro,13550,98372,0.14
San Nicolás,2649,19385,0.14
San Miguel,3549,28070,0.13
José C. Paz,1359,11444,0.12
Tandil,2596,21707,0.12
Trenque Lauquen,761,6655,0.11
Berisso,822,8338,0.1
La Plata,9105,89699,0.1
Necochea,839,12459,0.07
