provincia,empl_total,establ_total,empl_por_establ,categoria
Tucuman,178863,19802,9.03,encima de Mdn Nac. 6.81
Santa Cruz,60009,6999,8.57,encima de Mdn Nac. 6.81
Tierra Del Fuego,38003,4550,8.35,encima de Mdn Nac. 6.81
Neuquen,126837,16781,7.56,encima de Mdn Nac. 6.81
CABA,1596397,212077,7.53,encima de Mdn Nac. 6.81
La Rioja,32613,4391,7.43,encima de Mdn Nac. 6.81
San Juan,86824,11929,7.28,encima de Mdn Nac. 6.81
Jujuy,62476,8659,7.22,encima de Mdn Nac. 6.81
Chubut,100217,14008,7.15,encima de Mdn Nac. 6.81
Buenos Aires,2108119,302925,6.96,encima de Mdn Nac. 6.81
Salta,119944,17261,6.95,encima de Mdn Nac. 6.81
Misiones,111105,16215,6.85,encima de Mdn Nac. 6.81
Catamarca,34191,5047,6.77,debajo de Mdn Nac. 6.81
San Luis,57169,8612,6.64,debajo de Mdn Nac. 6.81
Santa Fe,543358,84118,6.46,debajo de Mdn Nac. 6.81
Rio Negro,115372,17976,6.42,debajo de Mdn Nac. 6.81
Mendoza,252202,39580,6.37,debajo de Mdn Nac. 6.81
Chaco,87672,13877,6.32,debajo de Mdn Nac. 6.81
Cordoba,537565,86771,6.2,debajo de Mdn Nac. 6.81
Formosa,26982,4501,5.99,debajo de Mdn Nac. 6.81
Santiago Del Estero,55944,9479,5.9,debajo de Mdn Nac. 6.81
Corrientes,81033,13984,5.79,debajo de Mdn Nac. 6.81
Entre Rios,141767,26278,5.39,debajo de Mdn Nac. 6.81
La Pampa,40787,9898,4.12,debajo de Mdn Nac. 6.81
